Layer,Head,Total_Importance,Avg_Importance,Num_Features,Stable_Feature_Count
0,7,-0.004654545454545456,-0.00022164502164502174,21,3
1,10,-0.0050181818181818105,-0.0002389610389610386,21,4
8,10,-0.005018181818181833,-0.00023896103896103968,21,2
1,4,-0.005018181818181844,-0.0002389610389610402,21,4
3,5,-0.005381818181818166,-0.0002562770562770555,21,2
1,2,-0.005381818181818177,-0.00025627705627705605,21,1
11,8,-0.005600000000000004,-0.0002666666666666669,21,2
0,6,-0.005600000000000016,-0.00026666666666666744,21,2
11,4,-0.0057454545454545085,-0.00027359307359307183,21,4
1,7,-0.005818181818181845,-0.00027705627705627834,21,2
8,7,-0.005963636363636349,-0.00028398268398268327,21,1
9,5,-0.006618181818181811,-0.0003151515151515148,21,1
0,5,-0.006618181818181834,-0.0003151515151515159,21,5
11,6,-0.006618181818181856,-0.000315151515151517,21,5
1,0,-0.006836363636363629,-0.0003255411255411252,21,3
10,3,-0.0071999999999999955,-0.00034285714285714263,21,2
10,10,-0.007563636363636372,-0.0003601731601731606,21,1
10,7,-0.008218181818181791,-0.00039134199134199007,21,4
10,6,-0.008218181818181791,-0.00039134199134199007,21,4
11,3,-0.008218181818181871,-0.00039134199134199387,21,5
9,8,-0.008436363636363653,-0.00040173160173160254,21,1
10,8,-0.009090909090909094,-0.00043290043290043306,21,3
10,5,-0.009309090909090954,-0.0004432900432900454,21,1
11,5,-0.010036363636363621,-0.0004779220779220772,21,5
10,11,-0.010399999999999987,-0.0004952380952380946,21,3
1,3,-0.010909090909090903,-0.0005194805194805192,21,4
0,8,-0.011199999999999977,-0.0005333333333333323,21,3
