Feature,Coefficient,Abs_Coefficient,Cumulative_Importance
AttMap_L6_H7_358,-0.017589571553277335,0.017589571553277335,49.47334059204952
AttMap_L1_H7_400,-0.01758541502277843,0.01758541502277843,49.48666322779357
AttMap_L2_H4_550,0.017558077800257164,0.017558077800257164,49.49996515297394
AttMap_L2_H6_54,-0.017548514838295448,0.017548514838295448,49.51325983329494
AttMap_L2_H1_508,0.017544907810888903,0.017544907810888903,49.52655178094728
AttMap_L6_H9_360,-0.01753713115741645,0.01753713115741645,49.53983783703998
AttMap_L6_H0_667,0.0175357325390033,0.0175357325390033,49.55312283354531
AttMap_L10_H11_109,-0.017514901144398628,0.017514901144398628,49.566392048274544
AttMap_L7_H5_10,-0.017505769834802426,0.017505769834802426,49.5796543451624
AttMap_L9_H4_667,0.017504573069272947,0.017504573069272947,49.59291573538579
AttMap_L4_H0_509,-0.017496824425649142,0.017496824425649142,49.606171255269665
AttMap_L10_H0_308,-0.017494489138809438,0.017494489138809438,49.619425005950156
AttMap_L4_H6_462,-0.017491409487053942,0.017491409487053942,49.63267642349955
AttMap_L10_H6_463,0.017490960772586668,0.017490960772586668,49.64592750110477
AttMap_L6_H6_66,-0.0174825188596007,0.0174825188596007,49.65917218315255
AttMap_L6_H10_359,0.017472719505601655,0.017472719505601655,49.67240944125137
AttMap_L9_H2_207,-0.017470456638626224,0.017470456638626224,49.68564498501176
AttMap_L3_H3_53,-0.017458246176517183,0.017458246176517183,49.698871278177926
AttMap_L6_H9_558,0.017445600230133338,0.017445600230133338,49.7120879908288
AttMap_L10_H7_59,0.017444389647341445,0.017444389647341445,49.7253037863473
AttMap_L9_H4_617,0.017443080811936237,0.017443080811936237,49.738518590297645
AttMap_L9_H4_164,0.017440510639764595,0.017440510639764595,49.751731447096475
AttMap_L4_H6_212,-0.017422751710630093,0.017422751710630093,49.76493084980601
AttMap_L10_H9_311,-0.01741608409089244,0.01741608409089244,49.77812520115514
AttMap_L5_H1_217,0.017409811689652922,0.017409811689652922,49.791314800559725
AttMap_L6_H7_58,0.01740181581987296,0.01740181581987296,49.80449834232732
AttMap_L5_H1_215,0.01740143830435419,0.01740143830435419,49.81768159809077
AttMap_L9_H1_257,-0.017401123412216047,0.017401123412216047,49.830864615293265
AttMap_L7_H5_60,0.01740106027397377,0.01740106027397377,49.844047584662505
AttMap_L6_H10_414,-0.017394292627601872,0.017394292627601872,49.85722542689158
AttMap_L4_H7_264,0.01738974704882558,0.01738974704882558,49.87039982540949
AttMap_L10_H9_312,-0.017388906257669742,0.017388906257669742,49.88357358694758
AttMap_L7_H4_59,0.01736152161163279,0.01736152161163279,49.89672660199413
AttMap_L6_H5_309,0.017360858384719267,0.017360858384719267,49.909879114582786
AttMap_L8_H8_62,0.017359749209984513,0.017359749209984513,49.923030786865375
AttMap_L0_H9_408,-0.017357434775314942,0.017357434775314942,49.93618070574208
AttMap_L9_H5_363,-0.01733628547259561,0.01733628547259561,49.94931460199686
AttMap_L2_H2_150,-0.01733123052221032,0.01733123052221032,49.9624446686427
AttMap_L4_H6_115,0.0173199148773051,0.0173199148773051,49.97556616260401
AttMap_L3_H7_350,-0.017315327600543638,0.017315327600543638,49.98868418126392
